ProductID,ProductName,Category,SubCategory,Brand,UnitPrice,UnitCost
P0001,Smartphones WorkPro 001,Electronics,Smartphones,WorkPro,2518.46,1473.99
P0002,Accessories ValuePlus 002,Electronics,Accessories,Apex,36781.76,26079.25
P0003,Accessories ValuePlus 003,Electronics,Accessories,PrimeHome,77095.67,51378.72
P0004,Tablets Orbit 004,Electronics,Tablets,ValuePlus,69113.62,52444.27
P0005,Smartphones Orbit 005,Electronics,Smartphones,Apex,70871.98,43464.3
P0006,Tablets NovaTech 006,Electronics,Tablets,NovaTech,70954.5,48664.35
P0007,Laptops UrbanEdge 007,Electronics,Laptops,NovaTech,59715.67,33628.3
P0008,Smartphones UrbanEdge 008,Electronics,Smartphones,PrimeHome,86290.61,70292.63
P0009,Laptops WorkPro 009,Electronics,Laptops,Zenith,70173.99,38626.59
P0010,Smartphones PrimeHome 010,Electronics,Smartphones,Zenith,25007.39,13919.38
P0011,Tablets Apex 011,Electronics,Tablets,Zenith,98333.37,58341.89
P0012,Accessories NovaTech 012,Electronics,Accessories,Orbit,71144.42,44958.26
P0013,Accessories Orbit 013,Electronics,Accessories,NovaTech,14515.32,11202.5
P0014,Accessories Zenith 014,Electronics,Accessories,Orbit,48778.48,38020.96
P0015,Tablets UrbanEdge 015,Electronics,Tablets,Orbit,68529.29,49602.51
P0016,Accessories UrbanEdge 016,Electronics,Accessories,Orbit,20726.73,12582.4
P0017,Accessories PrimeHome 017,Electronics,Accessories,Orbit,39541.05,28399.69
P0018,Tablets Orbit 018,Electronics,Tablets,UrbanEdge,87067.55,68037.44
P0019,Tablets Zenith 019,Electronics,Tablets,WorkPro,10041.15,7353.09
P0020,Accessories Zenith 020,Electronics,Accessories,Apex,30728.81,20606.16
P0021,Smartphones Zenith 021,Electronics,Smartphones,Apex,22508.13,13043.53
P0022,Smartphones UrbanEdge 022,Electronics,Smartphones,WorkPro,73987.14,46145.2
P0023,Tablets NovaTech 023,Electronics,Tablets,Zenith,27283.59,17513.29
P0024,Laptops WorkPro 024,Electronics,Laptops,NovaTech,14840.32,10060.51
P0025,Smartphones ValuePlus 025,Electronics,Smartphones,WorkPro,23983.47,15198.34
P0026,Laptops ValuePlus 026,Electronics,Laptops,ValuePlus,70877.19,46957.39
P0027,Smartphones ValuePlus 027,Electronics,Smartphones,Orbit,74626.21,54869.29
P0028,Smartphones Orbit 028,Electronics,Smartphones,PrimeHome,41453.07,31875.03
P0029,Smartphones ValuePlus 029,Electronics,Smartphones,PrimeHome,76996.73,43074.07
P0030,Laptops ValuePlus 030,Electronics,Laptops,ValuePlus,55689.05,31795.05
P0031,Tablets PrimeHome 031,Electronics,Tablets,PrimeHome,92180.74,75511.29
P0032,Laptops Zenith 032,Electronics,Laptops,UrbanEdge,28424.79,19253.2
P0033,Smartphones UrbanEdge 033,Electronics,Smartphones,WorkPro,70057.09,46101.58
P0034,Laptops Orbit 034,Electronics,Laptops,PrimeHome,48150.2,30932.89
P0035,Smartphones NovaTech 035,Electronics,Smartphones,PrimeHome,12830.86,7636.75
P0036,Smartphones NovaTech 036,Electronics,Smartphones,UrbanEdge,80556.52,56636.94
P0037,Accessories UrbanEdge 037,Electronics,Accessories,Apex,29570.05,19830.71
P0038,Tablets PrimeHome 038,Electronics,Tablets,PrimeHome,24255.4,18607.65
P0039,Laptops Zenith 039,Electronics,Laptops,UrbanEdge,61849.55,39749.51
P0040,Accessories PrimeHome 040,Electronics,Accessories,Zenith,74732.44,43750.26
